child,relation,parent
GO:1903532,is_a,GO:1903530
GO:1903532,is_a,GO:0051047
GO:0050820,is_a,GO:0051240
GO:0050820,positively_regulates,GO:0050817
GO:0050820,is_a,GO:0050818
GO:0004857,negatively_regulates,GO:0003824
GO:0004857,is_a,GO:0030234
GO:0004857,part_of,GO:0043086
GO:0009259,is_a,GO:0009117
GO:0009259,is_a,GO:0019693
GO:0007049,is_a,GO:0009987
GO:0016491,is_a,GO:0003824
GO:0016491,part_of,GO:0055114
GO:0051248,negatively_regulates,GO:0019538
GO:0051248,is_a,GO:0051246
GO:0051248,is_a,GO:0010605
GO:0051248,is_a,GO:0051172
GO:0030548,is_a,GO:0099602
GO:0030548,regulates,GO:0015464
GO:0004528,is_a,GO:0004527
GO:0004528,is_a,GO:0008081
GO:0044057,is_a,GO:0051239
GO:0044057,regulates,GO:0003008
GO:0071805,is_a,GO:0098662
